"Tweets","Sentiments"
"If you get the error message Start menu and have stopped working look here",1
"Microsoft buys company to improve Cortanas conversational skills 

via",2
"Microsoft acquires AI startup Semantic Machines to help boost Cortana ",2
"If you get the error message Start menu and have stopped working look here",1
"Acer Ships with Alexa s  ",0
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
" is an AI that you can give voice commands to Get driving directions calenda",0
"Stay tuned for some interesting stuff on designing voice and chat bots ",2
"could soon be more human  
",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Stay tuned for some interesting stuff on designing voice and chat bots ",2
"Microsoft acquires AI company to make Cortana and bots sound more human  ",0
"buys  to make sound less like a via",2
"buys  to make sound less like a via",2
"Conversational is finally becoming a reality  via",2
"acquires company to make and sound more human via",0
"Conversational is finally becoming a reality  via",2
"Dont miss my next talk about with the  Its all about the news in the im",2
"Conversational is finally becoming a reality  via",2
"Dont miss my next talk about with the  Its all about the news in the im",2
"Dont miss Robin Sedlaczeks next talk about with the  Its all about the news in th",2
"Conversational is finally becoming a reality  via",2
"Dont miss my next talk about with the  Its all about the news in the",2
"Conversational is finally becoming a reality  via",2
"Today spend more time in data aggregation rather than healing The need of the times is to mov",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"",0
"Are  and good for your business",2
"acquires company to make and sound more human via",0
"Aura doesnt have all the capabilities of Microsoft Facebook Messenger or but instead integr",2
"Deals that work Microsoft buys Semantic Machines the race is on toward AI assistants that have natural language c",2
"spells out its plans for Semantic Machines and  via",0
"acquires to make sound more human",0
"Combining Semantic Machines technology with Microsofts own AI advances we aim to deliver powerful natural an",2
"The latest from states of its voice assistant which might be now available with more human t",2
"Well this could certainly be good news if you rely on  to get you through the day",2
"acquires company to make and bots sound more human via",0
"acquires Semantic Machines advancing the state of conversational",2
"Microsoft just bought an AI startup to improve",2
"Microsoft acquires AI company to make Cortana and bots sound more human ",0
"acquires  Semantic Machines to help boost",2
"a rival Amazons will be preloaded on Acers new laptops via",2
"Just Bought a Hot  That Could Help Its Talk Like Humans One Day",2
"Hey  is Buying a Conversational",2
"
Microsoft buys AI startup to make Cortana sound less like a robot

",2
"The wars blaze on with acquiring edUAUBDedUBU

Microsoft Acquires Semantic Machines",1
"acquires  to make and sound more human",0
"Conversational from will be used to augment ",2
"NEW BLOG What Could a Digital Office Assistant Do for Your Business Read here",2
"I was listening to some news on SiriusXM and the reporter pronounced terribly wrong I laughed",1
"Microsoft acquires AI company to make Cortana and bots sound more human  ",0
"Microsoft acquires AI company to make Cortana and bots sound more human ",0
"makes a big purchase to bolster the behind some of its top properties such as",2
"Bought an  to Help Sound Less Robotic",1
"Sad tried to ask what I should do with a drunken sailor But she didnt get the question would be funn",1
"Microsofts meeting room of the future  ",0
"Bots bots bots Staying humanor at least conveying humanin the bot era ",0
"Bots bots bots Staying humanor at least conveying humanin the bot era",0
"buys company to improve s conversational skills
",2
"buys company to improve s conversational skills
",2
"acquires company to make and sound more",0
"acquires company to make and bots sound more human",0
"Amazons will be preloaded on Acers new laptops The Verge another blow to as",2
"It appears that is moving toward true conversational skills with similar to by acquiring",2
"It appears that is moving toward true conversational skills with similar to by acquirin",2
"Now you can buy a with preinstalled  SmartAssistant http",0
"makes a big purchase to bolster the behind some of its top properties such as",2
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"LLC Microsoft just bought an AI startup to improve Cortana

 ",2
"Microsoft just bought an AI startup to improve Cortana",2
"Now you can buy a with preinstalled",0
"trends Will this Make Smarter  Acquires Recognition AI Startup  Lead by strong team",2
"edUAUBCedUBEUAFedUAUBCedUBEUAFedUAUBCedUBEUAF


 can now score darts matches and can be quite chatty about it

When the working day is d",0
"and now have mens voices too I guess it was sexist to have only a womans voice hear you",1
"just bought an  to improve conversational skills",2
"Will this Make Smarter  Acquires Recognition AI Startup  Lead by s",2
"When setting up a PC with Windows does have to be at full volume Just scared the crap out of myself while multitasking",1
"Bought an Startup to Help Sound Less Robotic",1
"Microsoft buys company to improve Cortanas conversational skills",2
"Conversational from will be used to augment ",2
"is acquiring conversational startup in an effort to make and",2
"just bought an  to improve conversational skills 
",2
"Microsoft sharpens with Semantic buy ",0
"Theres no where to go but up 
Microsoft just bought an AI startup to improve Cortanas conversational ski",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Microsoft buys company to improve Cortanas conversational skills",2
"Step in howto article to enable disk encryption Tell to launch the ISE Really",2
"Companies continue to double down on their voice assistant services acquired company to help",2
"Amazons will be preloaded on Acers new laptops The Verge",2
"Thedifferent types of the  The Super bot ",2
"BREAKING from  buys company to improve s skills",2
"acquires company to make and bots sound more human via",0
"is acquiring   in an effort to make and",2
"Microsoft acquires company to make and sound more",0
"buys AI startup to make sound less like a robot",2
"acquires company to make and bots sound more human",0
"edUAUBCedUBEUAFedUAUBCedUBEUAFedUAUBCedUBEUAF


 can now score darts matches and can be quite chatty about it

When the working day",0
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft acquires Semantic Machines to bolster Cortanas conversational skills
",2
"Microsoft just bought an AI startup to improve conversational skills",2
"ICYMI  talking to  to Build Conference May ",2
"Microsoft buys company to improve s conversational skills via",2
"acquires company to make and sound more human

",0
"Microsoft acquires company to make and bots sound more human",0
"Microsoft buys a startup that wants AI to make conversation with humans",0
"buys AI startup to make sound less like a robot",2
"io seeks to bolster its conversational AI offerings with acquisition of Semantic Machines",2
"BREAKING from  buys company to improve s skills",2
"BREAKING from  buys company to improve s skills",2
"BREAKING from  buys company to improve s skills",2
"You can disable via registry or GPO now I have to see how to disable another technology from",1
"So buys go improve 

Im curious how this will go",2
"just bought an  to improve conversational skills",2
"buys AI company to improve s conversational skills has acquired a natural language",2
"The key to tackling a new marketing channel is understanding why they exist and how they work",2
"How is planning to get more chatty",0
"How is planning to get more chatty",0
"buys startup to boost s conversational skills

",2
"",0
"acquires conversational company Semantic Machines ",2
"Learn how to quickly start developing solutions utilizing the Intelligence Suites multifaceted features w",2
"on with coverage of acquisition of 

",0
"acquires company to make and bots sound more human via",0
"Daily",0
"seeks to bolster its conversational AI offerings with acquisition of Semantic Machines",2
"Happy Monday Citizen Nerds 
 The Correlbow",2
"icrosoft acquires developer to make spoken AI more humanlik   ",1
"buys AI startup to make sound less like a robot",2
"With Google Duplex raising the stakes is clearly committing itself to ensuring its AI assistants are as cuttin",2
"buys AI company to improve s conversational skills",2
"With Google Duplex raising the stakes is clearly committing itself to ensuring its AI assistants are as",2
"buys AI company to improve s conversational skills",2
"buys AI company to improve s conversational skills has acquired a natural language",2
"buys AI startup to make sound less like a robot",2
"s Future  To Sound More Human Thanks To Acquisition via",2
"Microsoft is acquiring conversational startup Machines in an effort to make bots and intelligent ass",2
"AndroidAuth buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"Microsoft acquires Semantic Machines advancing the state of",0
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"buys AI startup to make sound less like a robot",2
"Microsoft acquires AI company to make Cortana and bots sound more human



 ",0
"Microsoft acquires AI company to make Cortana and bots sound more human



 ",0
"Microsoft acquires AI company to make Cortana and bots sound more human

",0
"Microsoft just bought an AI startup to improve Cortanas conversational skills 
 ",2
"Microsoft acquires Semantic Machines to make AI more humanlike
",0
"Microsoft acquires AI company to make Cortana and bots sound more human 
 ",0
"Microsoft acquires conversational AI startup Semantic Machines  ",2
"buys startup to boost s conversational skills",2
"After the freaky humanbot Google Duplex Microsoft also acquires AI company to make Cortana sound more human
",0
"After the freaky humanbot Google Duplex Microsoft also acquires AI company to make Cortana sound more human",0
"Microsoft acquires company to make and bots sound more human

via",0
"Microsoft is acquiring conversational AI startup Semantic Machines in an effort to make bots and intelligent assist",2
"No  on until we get on s in",0
"buys conversational firm Semantic Machines gt Big focus now on conversation learning as next ph",2
"buys conversational firm Semantic Machines gt Big focus now on conversation learning as",2
"Microsoft bought Semantic Machines for the sake of conversational AI",2
"Microsoft just bought an startup to improve s conversational skills",2
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
"acquires some serious talent by buying 

  

Mic",2
"just bought an  to improve conversational skills",2
"just bought an  to improve conversational skills",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Learn all you need to start creating your own virtual assistant skill here on Tuesday c",2
"Learn all you need to start creating your own virtual assistant skill here",2
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"Voice of Healthcare Summit Tuesday August  Harvard Medical School



",0
"combine with new integration you will get better data for ML analyse Model",2
"Voice of Healthcare Summit Tuesday August  Harvard Medical School

",0
"Most owners dont use their devices to online and more than half say its because of a lack of",1
"Moved from Lumia to Xiaomi Mido
Farewell Mobile it has been a good and long ride",2
"Awaken Taken by me follow me on instafram for more   ",2
"competitor is getting integration and message translation",0
" dc wpli ",0
"products Do your products support integration",2
"The meeting room of the modern day or may be the future For some it may be tomorrow but for us this is today",2
"A damn good reason to use",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"If you get the error message Start menu and have stopped working look here",1
"heroes Chief will never give up on Cortana Never make a girl a promise you cant keep  ",2
"Asked on my PC why did my pc reboot last night got brought to a Bing page about fixing reboot probl",0
"Did anyone notice that Hey Cortana now brings up a fullscreen experience instead of the little popup near the St",0
"Daily Shes smarter than living in denial",1
"Chief will never give up on Cortana Never make a girl a promise you cant keep ",2
"Great demo on how Intelligent Collaboration will look like soon with  and Microsoft Teams",2
"The meeting room of the modern day or may be the future For some it may be tomorrow but for us this is toda",2
"The moment by 
I guess the testrun of s is only the beginning and I am sure",0
"fankat So

You didnt surrender that AI

 ",1
"its only the beginning of Audio Hacking  Read more about it here
",0
"Its like these two toys were made to go together  ",2
"Using chatbots and  to improve workflows starts with Net",2
"This is one of the most brilliant things Ive seen in the recent times  
",2
"fankat So

You didnt surrender that AI

 ",1
"If you get the error message Start menu and have stopped working look here",1
"Microsoft and Amazon partner to integrate Alexa and Cortana digital assistants",2
"fankat So

You didnt surrender that AI

 ",1
"what does think",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"Whats your favedUAUBDedUBU
Comment below edUAUBDedUBU

Cortana
",0
"Lets talk about Cortana piggybacking on Alexa and Google Assistants crazy Duplex technology that makes Assistant oh so hu",1
"in  What have they done It seems interests have been removed so there are now no reas",2
"How  amp the whole RD dept missed",1
"Still dont have smart home skills",2
"How To Replace With Or On 

",0
"I just love how Microsoft announces products places them as priorities lets them wither on the vine while still p",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"Very exciting new usages   working with the new  build I",2
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"Heres how  will work with  
",2
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"Living in the future sucks After yelling Hey Cortana to my desktop PC I realised it doesnt have a microphone",1
"fankat So

You didnt surrender that AI

 ",1
"Nobody is going to ask to talk to",2
"If you get the error message Start menu and have stopped working look here",1
"Uncover how to operationalize your science pipeline for iterative learning with us during the Intellige",2
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"Living in the future sucks After yelling Hey Cortana to my desktop PC I realised it doesnt have a microphone",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"Why are all virtual assistants or attendants as the case may be female Great to see how she makes those around",2
"  Im predicting a class action suite claiming gender discrimination in the virtua",1
" Dreaming about what else Voice could bring to your product with custom via Altrans",0
"I love seeing this kind of cooperation between digital assistants",2
"Lets talk about Cortana piggybacking on Alexa and Google Assistants crazy Duplex technology that makes Assistant",1
"Using chatbots and  to improve workflows starts with Net",2
"of the 
",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"Uncover how to operationalize your science pipeline for iterative learning with us during the Intell",2
"So sorry I didnt have a video up yesterday Everybody Went to the store and it was an all day thing Lol

I may",1
"fankat So

You didnt surrender that AI

 ",1
"Its Friday lets have some fun We will overcome these challenges soon though",2
"Daily Do you like",2
" Dreaming about what else Voice could bring to your product with custom via Altrans",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"Setting up microphone function for your edUAUBDedUBUBD PC is faster than choosing a character for",2
"I set a reminder and it alerted on my Android phone Windows laptop and my Xbox all at once Ok I get it edUAUBDedUBU",0
"Hey cough",1
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
" Dreaming about what else Voice could bring to your product with custom via Altrans",0
" Dreaming about what else Voice could bring to your product with custom",0
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"fankat So

You didnt surrender that AI

 ",1
"Just seen the video how you are bringing in future Apologies for the above comments",0
"Nobody talks about as a Assistant Do people have experiences",0
"fankat So

You didnt surrender that AI

 ",1
"fankat So

You didnt surrender that AI

 ",1
"So

You didnt surrender that AI

 ",1
"So lets see if Ginas prosumer mentality pervades her job as  encroach on civil right to priv",2
"Does anyone know how to make use your music Weird that a Microsoft device doesnt work with Mic",2
"edUAUBDedUBUHaloedUAUBDedUBU photo by Eric Anderson Gallery Edit and makeup by me  ",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Cortana is here to do your bidding How can she serve you  ",0
"That moment when reads your emails Too bad this didnt pop up on my Mac because I did forget to do this",1
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"shows and working together in Build demo",2
"is smarter than  and Some studies shows this
 is better",2
"Why Google Assistant will beat  and Were supportive of which ever one most resembles Rosi",2
"is smoking some good stuff between her and my home is alive with random outbursts and acts from the",2
"Innovation is in our DNA no other company can do this People who know ",2
"Innovation is in our DNA no other company can do this People who know",2
"If you get the error message Start menu and have stopped working look here",1
"When did adopt a positive attitude towards  would never approve of any product built by",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"The time has come to begin assessing the differences between voiceenabled intelligent assistant",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Not really invested into s ecosystem but I have to say is really convenient for turning off y",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Hey look the asshats at invented yet another way to be bigger asshats with a bot in y",2
"Love  App feature with and  Type in app for example and Co",2
"Using for of documents",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Cortana amp Alexa new friends
 ",2
"When did adopt a positive attitude towards  would never approve of any product built by",2
"It looks like the last update of Windows in April has issues with Chrome freezing and the Hey Cortana fe",1
"If you get the error message Start menu and have stopped working look here",1
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
"Get out of my face Ive had enough of Google sending me instructive adverts about my dreams I dont need",2
"Coming very soon you will be able to speak to Alexa through Cortana and speak to Alexa through your Windows dev",0
"In the series of unexpected affairs UUFEF 

",1
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
"With all the news of voice assistants this week should we ask Should we humanise voice technology",2
"Thought the scandal was bad everyones bored of it now and moved on mind 

 was the year we sta",1
"",0
"Take a glimpse of whats possible in the Heres how Microsoft is bringing coworkers and content t",2
"Which  Will Beat Probably Not via",0
"Voice assistants have caught on quick Cortana Alexa and Google Assistant grew in and projected to be i",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"arent just for requesting songs and definitions anymore As enterprises look for ways to bring",0
"can you please consider updating your Xbox controller with a mic please it would make using and alot easier",2
"NOVA l PBS IS THE BEST

 PBS   ",2
